dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003843,24.635000,0.003704,0.148148,2.962963,59.259259,6.282973
0.050000,0.015695,24.634993,0.015555,0.237033,1.777694,-23.705381,6.282321
0.050000,0.035444,24.634965,0.035305,0.394989,3.159114,27.628393,6.281237
0.050000,0.063086,24.634891,0.062947,0.552845,3.157121,-0.039851,6.279724
0.050000,0.098614,24.634733,0.098475,0.710561,3.154320,-0.056028,6.277791
0.050000,0.142018,24.634448,0.141880,0.868095,3.150698,-0.072432,6.275444
0.050000,0.193286,24.633981,0.193150,1.025408,3.146242,-0.089115,6.272693
0.050000,0.252404,24.633267,0.252273,1.182454,3.140936,-0.106119,6.269550
0.050000,0.319356,24.632236,0.319233,1.339193,3.134763,-0.123474,6.266028
0.050000,0.394121,24.630808,0.394011,1.495578,3.127703,-0.141199,6.262144
0.050000,0.476677,24.628895,0.476590,1.651565,3.119738,-0.159296,6.257915
0.050000,0.566999,24.626406,0.566945,1.807107,3.110850,-0.177756,6.253359
0.050000,0.665055,24.623241,0.665053,1.962158,3.101022,-0.196551,6.248500
0.050000,0.770815,24.619298,0.770886,2.116670,3.090240,-0.215641,6.243360
0.050000,0.884242,24.614471,0.884416,2.270595,3.078492,-0.234970,6.237966
0.050000,1.005297,24.608651,1.005610,2.423883,3.065769,-0.254469,6.232345
0.050000,1.133935,24.601728,1.134435,2.576486,3.052066,-0.274059,6.226528
0.050000,1.270110,24.593594,1.270852,2.728356,3.037383,-0.293655,6.220547
0.050000,1.413771,24.584140,1.414824,2.879442,3.021725,-0.313164,6.214437
0.050000,1.564865,24.573263,1.566309,3.029697,3.005100,-0.332494,6.208234
0.050000,1.723334,24.560861,1.725263,3.179073,2.987522,-0.351559,6.201977
0.050000,1.889119,24.546841,1.891639,3.327523,2.969008,-0.370278,6.195706
0.050000,2.062156,24.531116,2.065389,3.475002,2.949579,-0.388585,6.189465
0.050000,2.242381,24.513609,2.246463,3.621465,2.929257,-0.406435,6.183298
0.050000,2.429727,24.494255,2.434806,3.766868,2.908067,-0.423803,6.177252
0.050000,2.624127,24.473000,2.630364,3.911170,2.886032,-0.440690,6.171375
0.050000,2.825512,24.449804,2.833081,4.054329,2.863176,-0.457129,6.165718
0.050000,3.030032,24.425112,3.039086,4.120109,1.315594,-30.951629,6.160427
0.050000,3.233889,24.399454,3.244551,4.109293,-0.216312,-30.638129,6.155612
0.050000,3.437089,24.372933,3.449475,4.098483,-0.216203,0.002181,6.151274
0.050000,3.639644,24.345652,3.653859,4.087681,-0.216036,0.003332,6.147411
0.050000,3.841565,24.317710,3.857704,4.076889,-0.215834,0.004054,6.144024
0.050000,4.042862,24.289208,4.061009,4.066109,-0.215614,0.004396,6.141111
0.050000,4.243550,24.260244,4.263776,4.055339,-0.215394,0.004405,6.138673
0.050000,4.443641,24.230917,4.466005,4.044580,-0.215187,0.004129,6.136710
0.050000,4.643150,24.201323,4.667696,4.033829,-0.215006,0.003616,6.135219
0.050000,4.842090,24.171559,4.868851,4.023086,-0.214861,0.002912,6.134202
0.050000,5.040476,24.141719,5.069468,4.012348,-0.214758,0.002065,6.133658
0.050000,5.238322,24.111898,5.269549,4.001613,-0.214702,0.001120,6.133587
0.050000,5.435642,24.082189,5.469093,3.990879,-0.214695,0.000122,6.133989
0.050000,5.632450,24.052687,5.668100,3.980142,-0.214740,-0.000883,6.134864
