dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003603,23.500000,0.003704,0.148148,2.962963,59.259259,6.282973
0.050000,0.014714,23.499994,0.014815,0.296296,2.962963,0.000000,6.282321
0.050000,0.033232,23.499968,0.033333,0.444444,2.962963,0.000000,6.281237
0.050000,0.059158,23.499897,0.059259,0.592593,2.962963,0.000000,6.279724
0.050000,0.092491,23.499750,0.092593,0.740741,2.962963,0.000000,6.277791
0.050000,0.133231,23.499482,0.133333,0.888889,2.962963,0.000000,6.275444
0.050000,0.181377,23.499043,0.181481,1.037037,2.962963,0.000000,6.272693
0.050000,0.236929,23.498373,0.237037,1.185185,2.962963,0.000000,6.269550
0.050000,0.299884,23.497403,0.300000,1.333333,2.962963,0.000000,6.266028
0.050000,0.370242,23.496059,0.370370,1.481481,2.962963,0.000000,6.262144
0.050000,0.447998,23.494258,0.448148,1.629630,2.962963,0.000000,6.257915
0.050000,0.533151,23.491911,0.533333,1.777778,2.962963,0.000000,6.253359
0.050000,0.625696,23.488924,0.625926,1.925926,2.962963,0.000000,6.248500
0.050000,0.725626,23.485198,0.725926,2.074074,2.962963,0.000000,6.243360
0.050000,0.832936,23.480631,0.833333,2.222222,2.962963,0.000000,6.237966
0.050000,0.947618,23.475117,0.948148,2.370370,2.962963,-0.000000,6.232345
0.050000,1.069664,23.468550,1.070370,2.518519,2.962963,0.000000,6.226528
0.050000,1.199063,23.460820,1.200000,2.666667,2.962963,-0.000000,6.220547
0.050000,1.335804,23.451822,1.337037,2.814815,2.962963,0.000000,6.214437
0.050000,1.479875,23.441449,1.481481,2.962963,2.962963,-0.000000,6.208234
0.050000,1.631264,23.429601,1.633333,3.111111,2.962963,0.000000,6.201977
0.050000,1.789956,23.416181,1.792593,3.259259,2.962963,-0.000000,6.195706
0.050000,1.955939,23.401097,1.959259,3.407407,2.962963,0.000000,6.189465
0.050000,2.129197,23.384267,2.133333,3.555556,2.962963,-0.000000,6.183298
0.050000,2.309717,23.365618,2.314815,3.703704,2.962963,0.000000,6.177252
0.050000,2.497487,23.345087,2.503704,3.851852,2.962963,-0.000000,6.171375
0.050000,2.692494,23.322626,2.700000,4.000000,2.962963,0.000000,6.165718
0.050000,2.891051,23.298653,2.900000,4.000000,0.000000,-59.259259,6.160427
0.050000,3.089486,23.273677,3.100000,4.000000,0.000000,0.000000,6.155612
0.050000,3.287804,23.247794,3.300000,4.000000,0.000000,0.000000,6.151274
0.050000,3.486014,23.221097,3.500000,4.000000,0.000000,0.000000,6.147411
0.050000,3.684126,23.193682,3.700000,4.000000,0.000000,0.000000,6.144024
0.050000,3.882150,23.165643,3.900000,4.000000,0.000000,0.000000,6.141111
0.050000,4.080099,23.137075,4.100000,4.000000,0.000000,0.000000,6.138673
0.050000,4.277985,23.108071,4.300000,4.000000,0.000000,0.000000,6.136710
0.050000,4.475820,23.078725,4.500000,4.000000,0.000000,0.000000,6.135219
0.050000,4.673619,23.049132,4.700000,4.000000,0.000000,0.000000,6.134202
0.050000,4.871394,23.019383,4.900000,4.000000,0.000000,0.000000,6.133658
0.050000,5.069160,22.989575,5.100000,4.000000,0.000000,0.000000,6.133587
0.050000,5.266931,22.959798,5.300000,4.000000,0.000000,0.000000,6.133989
0.050000,5.464721,22.930148,5.500000,4.000000,0.000000,0.000000,6.134864
0.050000,5.662544,22.900718,5.700000,4.000000,0.000000,0.000000,6.136212
0.050000,5.860413,22.871602,5.900000,4.000000,0.000000,0.000000,6.138033
0.050000,6.058342,22.842892,6.100000,4.000000,0.000000,0.000000,6.140329
