dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003362,5.635000,0.003704,0.148148,2.962963,59.259259,0.000212
0.050000,0.013733,5.635006,0.014074,0.207412,1.185269,-35.553881,0.000864
0.050000,0.031020,5.635030,0.031362,0.345752,2.766812,31.630858,0.001949
0.050000,0.055230,5.635096,0.055572,0.484192,2.768804,0.039838,0.003461
0.050000,0.086368,5.635234,0.086710,0.622773,2.771604,0.056009,0.005395
0.050000,0.124444,5.635484,0.124787,0.761534,2.775225,0.072409,0.007742
0.050000,0.169468,5.635894,0.169813,0.900518,2.779679,0.089088,0.010493
0.050000,0.221453,5.636522,0.221801,1.039767,2.784983,0.106089,0.013636
0.050000,0.280412,5.637430,0.280767,1.179325,2.791156,0.123442,0.017157
0.050000,0.346362,5.638690,0.346729,1.319235,2.798214,0.141166,0.021041
0.050000,0.419319,5.640380,0.419706,1.459544,2.806177,0.159264,0.025271
0.050000,0.499304,5.642585,0.499721,1.600297,2.815063,0.177725,0.029826
0.050000,0.586336,5.645394,0.586798,1.741542,2.824889,0.196523,0.034685
0.050000,0.680437,5.648902,0.680965,1.883325,2.835670,0.215617,0.039825
0.050000,0.781630,5.653209,0.782249,2.025696,2.847418,0.234951,0.045219
0.050000,0.889940,5.658416,0.890685,2.168703,2.860141,0.254457,0.050840
0.050000,1.005393,5.664629,1.006304,2.312396,2.873843,0.274055,0.056657
0.050000,1.128015,5.671954,1.129145,2.456822,2.888526,0.293660,0.062638
0.050000,1.257836,5.680497,1.259247,2.602031,2.904185,0.313178,0.068748
0.050000,1.394885,5.690364,1.396651,2.748072,2.920811,0.332520,0.074951
0.050000,1.539193,5.701658,1.541400,2.894991,2.938391,0.351595,0.081209
0.050000,1.690794,5.714479,1.693542,3.042837,2.956907,0.370325,0.087479
0.050000,1.849721,5.728922,1.853125,3.191654,2.976339,0.388643,0.093721
0.050000,2.016013,5.745076,2.020199,3.341487,2.996665,0.406503,0.099888
0.050000,2.189707,5.763020,2.194818,3.492380,3.017859,0.423879,0.105934
0.050000,2.370847,5.782826,2.377037,3.644375,3.039897,0.440773,0.111810
0.050000,2.559475,5.804553,2.566912,3.797513,3.062758,0.457217,0.117467
0.050000,2.752071,5.827806,2.760906,3.879882,1.647391,-28.307337,0.122758
0.050000,2.945083,5.852099,2.955441,3.890699,0.216344,-28.620943,0.127573
0.050000,3.138518,5.877346,3.150517,3.901511,0.216232,-0.002242,0.131912
0.050000,3.332383,5.903457,3.346133,3.912314,0.216062,-0.003393,0.135774
0.050000,3.526687,5.930345,3.542288,3.923107,0.215857,-0.004115,0.139162
0.050000,3.721438,5.957921,3.738982,3.933889,0.215634,-0.004457,0.142074
0.050000,3.916649,5.986094,3.936215,3.944659,0.215411,-0.004465,0.144512
0.050000,4.112329,6.014775,4.133986,3.955419,0.215201,-0.004189,0.146476
0.050000,4.308491,6.043873,4.332295,3.966170,0.215017,-0.003676,0.147966
0.050000,4.505148,6.073296,4.531140,3.976913,0.214869,-0.002972,0.148983
0.050000,4.702313,6.102952,4.730523,3.987652,0.214762,-0.002125,0.149527
0.050000,4.899999,6.132749,4.930442,3.998387,0.214703,-0.001179,0.149598
0.050000,5.098221,6.162593,5.130898,4.009121,0.214694,-0.000181,0.149196
0.050000,5.296993,6.192390,5.331891,4.019858,0.214736,0.000823,0.148321
0.050000,5.496329,6.222045,5.533421,4.030599,0.214825,0.001789,0.146973
